luogo_di_residenza,n_clienti,lat,lon,n_polizze_casa,penetrazione_casa,n_polizze_salute,penetrazione_salute,NDVI_mean,protection_gap_casa,protection_gap_salute,valore_immobiliare_medio,pg_casa_norm,pg_salute_norm,aff_norm,ndvi_norm,potential_score_casa,potential_score_salute
agna,1,41.81982751891095,13.013902421785922,0.0,0.0,1.0,1.0,0.5720805633299566,1.0,0.0,331522.9287994012,1.0,0.0,0.3437256921941635,0.6302922092084046,0.6618689175244322,0.0
agnana calabra,1,42.226423592721176,13.371061744601205,1.0,1.0,0.0,0.0,0.8129112954554244,0.0,1.0,566870.0338950013,0.0,1.0,0.6932097531674893,0.8956284991062473,0.0,0.8763649106256365
agnone,1,40.31151595636516,12.82721438484202,1.0,1.0,0.0,0.0,0.0,0.0,1.0,193533.76194739528,0.0,1.0,0.13881552607091566,0.0,0.0,0.0
agognate,2,42.07371940938655,11.6991974008399,1.0,0.5,0.0,0.0,0.0,0.5,1.0,195092.82459247857,0.5,1.0,0.14113069176753296,0.0,0.0,0.0
agosta,1,41.45353348398599,13.43631077780137,1.0,1.0,1.0,1.0,0.7704477675078596,0.0,0.0,268961.4379982869,0.0,0.0,0.2508235770105612,0.8488441254420496,0.0,0.0
agra,1,42.87344087565753,11.39418660641351,0.0,0.0,1.0,1.0,0.3506377543016849,1.0,0.0,235615.0136287085,1.0,0.0,0.20130504223663154,0.3863166465650661,0.5111461340399592,0.0
agugliano,2,41.8645146820398,11.077958919925752,1.0,0.5,1.0,0.5,0.0,0.5,0.5,226282.4662327416,0.5,0.5,0.18744646274892693,0.0,0.0,0.0
agums,1,40.15716778060277,12.619628492591437,0.0,0.0,1.0,1.0,0.0,1.0,0.0,399104.86955441214,1.0,0.0,0.4440830392451322,0.0,0.0,0.0
ahornach,1,43.56256154512247,12.490313960885196,1.0,1.0,1.0,1.0,0.814283271318559,0.0,0.0,517385.8657451139,0.0,0.0,0.6197271070483259,0.8971400793856441,0.0,0.0
ahrntal,1,42.07574945705903,12.423037957435888,0.0,0.0,1.0,1.0,0.5274955869585187,1.0,0.0,245759.6222457364,1.0,0.0,0.21636951058870132,0.5811705206632021,0.5667865479776227,0.0
aidomaggiore,1,41.01792532647304,10.0515898791581,1.0,1.0,1.0,1.0,0.0,0.0,0.0,226885.3212612953,0.0,0.0,0.18834168609773996,0.0,0.0,0.0
aielli,1,40.35649772846406,13.021081681987232,1.0,1.0,1.0,1.0,0.0,0.0,0.0,313112.8729762018,0.0,0.0,0.31638725916256194,0.0,0.0,0.0
ailoche,1,40.17263964780231,13.564572454792284,0.0,0.0,0.0,0.0,0.0,1.0,1.0,140092.58883821827,1.0,1.0,0.05945683502694898,0.0,0.0,0.0
airali,1,43.25260480395004,11.188354612748965,0.0,0.0,0.0,0.0,0.7843756254856691,1.0,1.0,399119.4712710627,1.0,1.0,0.44410472239789556,0.8641892025816678,0.7613202552667081,0.7613202552667081
airetta,1,43.47673145592204,13.991637287161144,1.0,1.0,1.0,1.0,0.0,0.0,0.0,577825.9616705286,0.0,0.0,0.7094790084411687,0.0,0.0,0.0
ala di stura,1,40.60124248993588,10.154366247752534,0.0,0.0,0.0,0.0,0.0,1.0,1.0,212003.1144466516,1.0,1.0,0.1662420130564512,0.0,0.0,0.0
ala' dei sardi,1,41.55811043349021,12.074072530438851,1.0,1.0,1.0,1.0,0.0,0.0,0.0,541058.2236108433,0.0,0.0,0.6548799157321988,0.0,0.0,0.0
alanno stazione,1,43.71657886884675,11.549290071901256,0.0,0.0,0.0,0.0,0.8634627090853392,1.0,1.0,205019.9131353862,1.0,1.0,0.15587214871559207,0.9513237354378998,0.566886641589876,0.566886641589876
albanese,1,41.18461787305543,12.509297878092683,0.0,0.0,1.0,1.0,0.0,1.0,0.0,421550.8428062655,1.0,0.0,0.47741470007592873,0.0,0.0,0.0
albano di lucania,1,42.26291164537717,11.190054020455111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,177893.12305222,0.0,1.0,0.11558960198282114,0.0,0.0,0.0
albare' stazione,1,40.123011762038864,13.737498161530006,0.0,0.0,0.0,0.0,0.0,1.0,1.0,236797.5897006069,1.0,1.0,0.20306113559435124,0.0,0.0,0.0
albate,1,40.08849420611599,11.294440876598165,0.0,0.0,0.0,0.0,0.0,1.0,1.0,379938.3370338824,1.0,1.0,0.4156212588576866,0.0,0.0,0.0
alberese,1,43.3882433079356,10.094379858582116,1.0,1.0,2.0,2.0,0.0,0.0,0.0,370053.92524094007,0.0,0.0,0.40094317572457605,0.0,0.0,0.0
albi,1,40.26562141384199,13.957398056168156,0.0,0.0,1.0,1.0,0.0,1.0,0.0,178936.43237779714,1.0,0.0,0.11713888800359427,0.0,0.0,0.0
albiano,1,42.92610246107433,12.314301645532897,1.0,1.0,0.0,0.0,0.3588784456914967,0.0,1.0,280459.96834744833,0.0,1.0,0.26789858237345954,0.3953958635747399,0.0,0.5594967252979958
albignano,1,40.77100804165085,12.753586819707634,1.0,1.0,0.0,0.0,0.0,0.0,1.0,240502.0746450709,0.0,1.0,0.20856219515350716,0.0,0.0,0.0
albignano d'adda,1,40.20991072331761,12.316500740815435,0.0,0.0,1.0,1.0,0.0,1.0,0.0,103572.51561775371,1.0,0.0,0.005225517879679865,0.0,0.0,0.0
albinea,1,41.1081017954785,13.449339665758927,1.0,1.0,1.0,1.0,0.0,0.0,0.0,349070.92879933026,0.0,0.0,0.3697839957345616,0.0,0.0,0.0
albinia,1,42.02216689371896,12.776927515292549,0.0,0.0,0.0,0.0,0.6597859992210094,1.0,1.0,348533.7224997524,1.0,1.0,0.3689862589657977,0.7269220485890411,0.6956657568679733,0.6956657568679733
albisola capo,1,43.55877490131024,12.434750111531203,0.0,0.0,0.0,0.0,0.8048393510912203,1.0,1.0,184639.6535772496,1.0,1.0,0.12560801663215404,0.8867351998542902,0.5239188174222463,0.5239188174222463
albissola marina,1,42.169435801969286,13.07359971579512,1.0,1.0,0.0,0.0,0.8778745295109807,0.0,1.0,223773.38849127188,0.0,1.0,0.18372055042877997,0.9672020202758227,0.0,0.5975176802534792
albo,1,43.15668495442935,11.993768795716228,0.0,0.0,0.0,0.0,0.4945617542011028,1.0,1.0,166857.4249667817,1.0,1.0,0.0992018899648302,0.5448855294627594,0.44280961129646756,0.44280961129646756
albogasio,1,41.754686787212194,13.128007302375766,1.0,1.0,0.0,0.0,0.6432670834374637,0.0,1.0,122707.46043171352,0.0,1.0,0.03364039138053169,0.7087222624219773,0.0,0.337406563801923
albonese,1,43.15716261870842,10.12485424135499,1.0,1.0,1.0,1.0,0.0,0.0,0.0,278377.1153342711,0.0,0.0,0.26480560220206534,0.0,0.0,0.0
aldein,1,40.45578107777818,12.70456715440583,1.0,1.0,0.0,0.0,0.0,0.0,1.0,248374.15363650964,0.0,1.0,0.22025201871480937,0.0,0.0,0.0
ales,1,42.770291200310325,12.287590089835817,1.0,1.0,1.0,1.0,0.6906052513011183,0.0,0.0,334328.6163107097,0.0,0.0,0.34789206196903677,0.7608772914776528,0.0,0.0
alessandria,1,43.377705332480346,12.276566281817074,0.0,0.0,1.0,1.0,0.7218223541569163,1.0,0.0,416904.9511739855,1.0,0.0,0.47051567714623654,0.7952708681612196,0.7618601261434571,0.0
alessano,1,43.255316526371374,11.9740367306424,0.0,0.0,0.0,0.0,0.4182496859247063,1.0,1.0,233319.8370585605,1.0,1.0,0.19789676734809905,0.46080838161627546,0.5267877702848435,0.5267877702848435
alezio,1,41.21109436942677,10.8014412160138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,295973.3495172182,1.0,1.0,0.29093553219460117,0.0,0.0,0.0
alfero,1,43.66568217812826,12.54165742744764,0.0,0.0,0.0,0.0,0.6728728841298965,1.0,1.0,141470.92117015374,1.0,1.0,0.06150362111569211,0.7413405800505288,0.408012774422999,0.408012774422999
alfonsine,1,43.00124975351888,12.192132288886372,0.0,0.0,1.0,1.0,0.34435354272948,1.0,0.0,262664.1468975515,1.0,0.0,0.24147227070865357,0.37939298956836165,0.5378708895146211,0.0
ali' terme,1,43.55838585254477,12.78544506766589,0.0,0.0,0.0,0.0,0.6579261088333263,1.0,1.0,281053.2031517434,1.0,1.0,0.26877951995045474,0.7248729063939021,0.6322243602907811,0.6322243602907811
alia,1,41.85706568114376,13.708699350943956,1.0,1.0,1.0,1.0,0.8458323453075235,0.0,0.0,104758.28265183464,0.0,0.0,0.006986349729600275,0.9318994066860452,0.0,0.0
alica,2,43.679309923727004,13.158613078236737,2.0,1.0,0.0,0.0,0.3943729109069457,0.0,1.0,162122.8696054917,0.0,1.0,0.09217120380493661,0.4345020425455729,0.0,0.4139776952635011
alice bel colle,1,40.7456792194159,12.997477746579827,1.0,1.0,0.0,0.0,0.0,0.0,1.0,143388.02418888744,0.0,1.0,0.06435046704574558,0.0,0.0,0.0
alice castello,1,43.24050654004784,13.070424077832929,1.0,1.0,0.0,0.0,0.726617563237098,0.0,1.0,112337.79626556924,0.0,1.0,0.01824172164868363,0.8005540102892641,0.0,0.287738433461542
allerona,1,42.43872763310311,13.66039381796012,1.0,1.0,0.0,0.0,0.2407974710036482,0.0,1.0,345840.83035811817,0.0,1.0,0.3649873872522952,0.26529964431451725,0.0,0.5668011081055482
allerona stazione,1,42.030735298540336,12.76976141007252,0.0,0.0,1.0,1.0,0.7096551469890401,1.0,0.0,275164.78639646794,1.0,0.0,0.26003538094988743,0.7818655955871995,0.6355301425982247,0.0
alliste,1,40.52504884437148,12.66959449824323,0.0,0.0,1.0,1.0,0.0,1.0,0.0,573559.7871143193,1.0,0.0,0.7031438550594457,0.0,0.0,0.0
allumiere,1,40.50610270526232,12.441231126160384,1.0,1.0,1.0,1.0,0.0,0.0,0.0,386390.6517754844,0.0,0.0,0.4252027710571127,0.0,0.0,0.0
alme',1,40.9164664556456,10.92716111046632,0.0,0.0,0.0,0.0,0.0,1.0,1.0,211902.63362562767,1.0,1.0,0.16609280176546418,0.0,0.0,0.0
altavilla irpina,2,43.46375449363177,12.330652222711427,0.0,0.0,1.0,0.5,0.736560349907593,1.0,0.5,329704.85756491753,1.0,0.5,0.3410259057748317,0.8115085180595616,0.6945361061441644,0.4911111904334384
altavilla silentina,1,41.95619360179713,11.406599489367622,1.0,1.0,0.0,0.0,0.0,0.0,1.0,459835.9101650592,0.0,1.0,0.5342669855958779,0.0,0.0,0.0
alte ceccato,1,43.76160548904874,12.21805022276386,1.0,1.0,1.0,1.0,0.7237497034445827,0.0,0.0,290707.9202632035,0.0,0.0,0.2831165127181844,0.7973943334881457,0.0,0.0
altedo,1,42.431518575494216,13.064705597879644,0.0,0.0,0.0,0.0,0.8776370519388513,1.0,1.0,122823.56020507068,1.0,1.0,0.03381279639165116,0.9669403783443024,0.3595872347985353,0.3595872347985353
altenburg,2,43.3960193260893,13.72006372779025,1.0,0.5,0.0,0.0,0.0,0.5,1.0,204903.3789108546,0.5,1.0,0.1556990985562747,0.0,0.0,0.0
altipiani di arcinazzo,1,43.29536206068477,10.797850747332207,1.0,1.0,0.0,0.0,0.507969143470363,0.0,1.0,229710.39442292688,0.0,1.0,0.19253684303698806,0.5596571779750775,0.0,0.5431734948807281
altrei,2,40.57352812518647,12.83940028297901,1.0,0.5,1.0,0.5,0.0,0.5,0.5,342965.0976912187,0.5,0.5,0.3607170023232202,0.0,0.0,0.0
alvignano,2,42.60567135462475,11.503293324339111,2.0,1.0,2.0,1.0,0.6645310959224978,0.0,0.0,428669.92749322363,0.0,0.0,0.4879863475402155,0.7321499791893744,0.0,0.0
alzano lombardo,1,40.35057098705536,13.747831292124252,1.0,1.0,2.0,2.0,0.0,0.0,0.0,440612.1346688495,0.0,0.0,0.5057202009437964,0.0,0.0,0.0
ama,1,43.70477627372713,10.914707118414436,1.0,1.0,0.0,0.0,0.3671603975760263,0.0,1.0,103050.0354507732,0.0,1.0,0.004449649017982165,0.40452053951106803,0.0,0.16439395440443208
amantea marina,1,41.31638352125904,12.135826187739736,0.0,0.0,1.0,1.0,0.0,1.0,0.0,567687.4999940986,1.0,0.0,0.6944236681289863,0.0,0.0,0.0
amaro,1,41.22321032979792,13.539212323840784,0.0,0.0,0.0,0.0,0.5530663057426898,1.0,1.0,144313.77075114026,1.0,1.0,0.06572517555502079,0.609343169528789,0.4002136674615828,0.4002136674615828
amato,1,42.677261665454,13.553088786046024,1.0,1.0,0.0,0.0,0.8494030033237998,0.0,1.0,148479.5488928521,0.0,1.0,0.07191124298715675,0.9358333944382361,0.0,0.448000755511672
amato di taurianova,1,40.27501562568995,12.198869020653245,1.0,1.0,1.0,1.0,0.0,0.0,0.0,309417.28416396026,0.0,0.0,0.3108994101182105,0.0,0.0,0.0
amblar,1,43.17137813534849,11.730569922416144,1.0,1.0,1.0,1.0,0.6193655449923041,0.0,0.0,364026.5638973215,0.0,0.0,0.3919927077829127,0.682388640139148,0.0,0.0
ambra,1,43.22685907217891,10.066157797159509,1.0,1.0,0.0,0.0,0.0,0.0,1.0,163682.01226939546,0.0,1.0,0.09448648832732968,0.0,0.0,0.0
ambrogiana,1,40.87485555562616,10.239773203445234,2.0,2.0,1.0,1.0,0.0,0.0,0.0,288183.98234853527,0.0,0.0,0.27936853344431783,0.0,0.0,0.0
amendolara marina,1,40.22533311119696,10.09553676527657,0.0,0.0,0.0,0.0,0.0,1.0,1.0,515703.7192379633,1.0,1.0,0.617229165158485,0.0,0.0,0.0
ancarano,1,41.2854092232609,13.958259232951228,1.0,1.0,1.0,1.0,0.7784018043799822,0.0,0.0,138756.94069099665,0.0,0.0,0.057473433793554164,0.8576075196099505,0.0,0.0
ancona,164,41.94860360127822,12.018886315825831,90.0,0.5487804878048781,78.0,0.47560975609756095,0.0,0.4512195121951219,0.524390243902439,286475.62708249234,0.4512195121951219,0.524390243902439,0.2768316722591364,0.0,0.0,0.0
andezeno,1,40.20591500499996,11.114585856946446,1.0,1.0,1.0,1.0,0.0,0.0,0.0,420285.17327627714,0.0,0.0,0.475535215189081,0.0,0.0,0.0
andrano,1,43.66654094336483,11.723940882053183,1.0,1.0,0.0,0.0,0.8683249579497523,0.0,1.0,271769.08155099617,0.0,1.0,0.25499285145380457,0.956680738935158,0.0,0.6578271710194488
andretta,1,41.62566614629608,13.519350991765872,1.0,1.0,1.0,1.0,0.6406123259077444,0.0,0.0,295302.1776167182,0.0,0.0,0.28993886014587283,0.7057973719509925,0.0,0.0
angelin,1,41.013876564971575,13.502797491770265,1.0,1.0,1.0,1.0,0.0,0.0,0.0,258856.663433752,0.0,0.0,0.23581826114487792,0.0,0.0,0.0
angera,1,42.40619402551882,12.425267789498127,0.0,0.0,1.0,1.0,0.5711672873275592,1.0,0.0,223274.4232213635,1.0,0.0,0.182979600550763,0.6292860034638543,0.5476340169362129,0.0
angiari,1,43.41818957280872,11.360017544239568,0.0,0.0,0.0,0.0,0.7272856402735709,1.0,1.0,415926.6324873643,1.0,1.0,0.4690629004597012,0.8012900670236318,0.7623023827207149,0.7623023827207149
angolo terme,2,42.954305322938396,11.59562781701927,0.0,0.0,1.0,0.5,0.7622170119604613,1.0,0.5,373361.3076571625,1.0,0.5,0.4058545488113351,0.8397758552892811,0.7367901345968605,0.5209893004847892
anguillara veneta,1,41.55248582707399,10.382760464232003,0.0,0.0,1.0,1.0,0.0,1.0,0.0,250170.76479737187,1.0,0.0,0.22291993750749253,0.0,0.0,0.0
anna',1,43.84620292855026,11.779409731310164,1.0,1.0,1.0,1.0,0.8720842034730324,0.0,0.0,386786.8696362729,0.0,0.0,0.4257911438223621,0.9608225037803629,0.0,0.0
annone veneto,1,41.74155758451205,11.607594831823867,0.0,0.0,1.0,1.0,0.0,1.0,0.0,232806.6079905632,1.0,0.0,0.1971346361172076,0.0,0.0,0.0
anoia superiore,1,40.27274647906185,10.748497081642007,0.0,0.0,1.0,1.0,0.0,1.0,0.0,551572.1308487816,1.0,0.0,0.6704927825092043,0.0,0.0,0.0
antella,1,42.19710003251299,10.005334557963169,1.0,1.0,0.0,0.0,0.0,0.0,1.0,293572.1822714003,0.0,1.0,0.28736986403053477,0.0,0.0,0.0
antey saint andre',2,40.56788037212203,11.211000620400295,1.0,0.5,2.0,1.0,0.0,0.5,0.0,205138.16387275822,0.5,0.0,0.15604774784987113,0.0,0.0,0.0
antria,1,43.173045401753015,11.267046708270106,0.0,0.0,1.0,1.0,0.7132227655759374,1.0,0.0,291075.49667587,1.0,0.0,0.28366235371063897,0.7857962346350631,0.6529839389631821,0.0
antrona schieranco,1,42.32087585476216,13.552431676045888,1.0,1.0,1.0,1.0,0.682817355411463,0.0,0.0,162999.85830279064,0.0,0.0,0.09347350820861833,0.7522969438482846,0.0,0.0
anzano del parco,1,43.21019321357832,12.262127507696231,0.0,0.0,0.0,0.0,0.7400209817642371,1.0,1.0,277096.676008224,1.0,1.0,0.2629041845690968,0.8153212840194553,0.642991165009566,0.642991165009566
anzi,1,41.90793357047062,11.556834474493757,1.0,1.0,0.0,0.0,0.0,0.0,1.0,348760.7515730097,0.0,1.0,0.3693233909753405,0.0,0.0,0.0
anzola d'ossola,1,43.96749817872925,10.218486145956152,1.0,1.0,1.0,1.0,0.499078657325945,0.0,0.0,296801.72087502567,0.0,0.0,0.29216564116918553,0.5498620468133324,0.0,0.0
anzu',1,43.35944521146688,13.600092493592044,0.0,0.0,0.0,0.0,0.4293073800345083,1.0,1.0,218386.54629162728,1.0,1.0,0.1757212360246808,0.4729912434297401,0.5109964640593507,0.5109964640593507
apice nuovo,1,41.875004241737656,11.997582396684262,1.0,1.0,0.0,0.0,0.0,0.0,1.0,429214.69387940166,0.0,1.0,0.4887953108323109,0.0,0.0,0.0
apiro,1,42.02429559386684,10.340856347607083,0.0,0.0,0.0,0.0,0.0,1.0,1.0,182794.5009895093,1.0,1.0,0.12286801513854324,0.0,0.0,0.0
apricale,1,41.95000911448112,11.465212581049355,0.0,0.0,1.0,1.0,0.0,1.0,0.0,206818.3234123792,1.0,0.0,0.15854273914688025,0.0,0.0,0.0
aprilia,1,43.79631841273127,13.10874363775844,1.0,1.0,0.0,0.0,0.0,0.0,1.0,165157.52175639104,0.0,1.0,0.096677579852804,0.0,0.0,0.0
arabona,2,41.37967549331796,10.606218918026443,2.0,1.0,0.0,0.0,0.0,0.0,1.0,211918.83896788524,0.0,1.0,0.16611686625871272,0.0,0.0,0.0
aramengo,1,40.55402711130064,11.363542897876735,1.0,1.0,1.0,1.0,0.0,0.0,0.0,560701.9138582344,0.0,0.0,0.6840502623883503,0.0,0.0,0.0
arasi',1,42.46221049277272,10.158230026250452,0.0,0.0,0.0,0.0,0.0,1.0,1.0,222114.1842376332,1.0,1.0,0.18125667716248114,0.0,0.0,0.0
arba,1,41.25002182794081,10.69764217286566,1.0,1.0,1.0,1.0,0.0,0.0,0.0,121938.50081108192,0.0,0.0,0.03249850722251888,0.0,0.0,0.0
arbatax,1,41.97519558286299,13.495992046452333,1.0,1.0,0.0,0.0,0.4499325746765955,0.0,1.0,264190.3651008703,0.0,1.0,0.24373866330103583,0.4957151399044689,0.0,0.5690150642184988
arcella,1,40.19717797105766,11.54515082058218,0.0,0.0,1.0,1.0,0.0,1.0,0.0,105281.31233058564,1.0,0.0,0.007763034601356921,0.0,0.0,0.0
arcellasco,1,40.19033277018445,11.541881738798942,0.0,0.0,0.0,0.0,0.0,1.0,1.0,210811.47157967143,1.0,1.0,0.16447245575421476,0.0,0.0,0.0
arcesaz,1,43.057596810250296,13.359438290696168,1.0,1.0,1.0,1.0,0.6753419408758028,0.0,0.0,141905.88427822862,0.0,0.0,0.06214952952115917,0.7440608738881305,0.0,0.0
arceto,1,43.45743299935855,11.892839626766229,0.0,0.0,1.0,1.0,0.406817777932156,1.0,0.0,480532.8773532196,1.0,0.0,0.5650014199107243,0.4482132280558216,0.7176485235692162,0.0
arcille,1,41.250089085297226,10.90157557726732,0.0,0.0,1.0,1.0,0.0,1.0,0.0,119008.15141210776,1.0,0.0,0.028147017929254663,0.0,0.0,0.0
arco,1,40.73790501253456,11.448941766609153,1.0,1.0,1.0,1.0,0.0,0.0,0.0,354899.7105140535,0.0,0.0,0.37843957831910663,0.0,0.0,0.0
ardesio,1,40.0863596445707,11.53406037804122,1.0,1.0,1.0,1.0,0.0,0.0,0.0,257267.54217964527,0.0,0.0,0.23345845923000566,0.0,0.0,0.0
ardore,3,42.202260680399554,12.340303605622637,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4565881597794098,0.6666666666666667,0.6666666666666667,277228.8513518575,0.6666666666666667,0.6666666666666667,0.26310046136559617,0.5030479592780365,0.4767741841617621,0.4767741841617621
are',1,40.3356101673128,12.066613957044972,1.0,1.0,0.0,0.0,0.0,0.0,1.0,272785.3074067973,0.0,1.0,0.2565019192573249,0.0,0.0,0.0
arenella,1,42.05991924259338,10.5229389578314,1.0,1.0,1.0,1.0,0.0,0.0,0.0,270712.89389261295,0.0,0.0,0.25342444145848414,0.0,0.0,0.0
arezzo,1,42.7846245805517,11.53119505774555,1.0,1.0,0.0,0.0,0.6597906149977012,0.0,1.0,171193.58640722238,0.0,1.0,0.10564097196936806,0.7269271340407673,0.0,0.4780220087226309
argegno,1,40.599265144184415,11.776636289250002,0.0,0.0,1.0,1.0,0.0,1.0,0.0,375866.0685064661,1.0,0.0,0.40957405066382674,0.0,0.0,0.0
argelato,1,40.36979806814826,11.831601180508288,0.0,0.0,1.0,1.0,0.0,1.0,0.0,428411.0361618384,1.0,0.0,0.4876019009424698,0.0,0.0,0.0
argine,1,43.23530529396674,13.501954601583586,0.0,0.0,0.0,0.0,0.4975880532037968,1.0,1.0,342241.1598976424,1.0,1.0,0.35964197435596157,0.5482197673418271,0.6524572332488184,0.6524572332488184
ari,2,41.54357333340342,13.273019481783981,1.0,0.5,2.0,1.0,0.6537532878684004,0.5,0.0,130471.02674391595,0.5,0.0,0.045169076559480756,0.7202754830357214,0.26147916667371296,0.0
