codice_cliente,next_best_action,nba_expected_value,priority_score,nba_reason,churn_score_model,cross_sell_score,clv_stimato,potenziale_crescita,engagement_score,satisfaction_score,reclami_totali,mesi_da_ultima_visita,multi_polizza_flag,valore_atteso_euro
10749,Retention (anti-churn),15913.42476310759,15913.42476310759,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.52,0.77,30588,81.0,100.0,73.1,0,3.0,1,15913
11886,Retention (anti-churn),15698.151321745909,15698.151321745909,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.71,0.67,22220,84.0,100.0,86.9,0,1.9,0,15698
10431,Retention (anti-churn),15496.392274441901,15496.392274441901,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.41,0.87,37904,72.4,100.0,83.7,0,1.4,1,15496
16397,Retention (anti-churn),15353.786041809637,15353.786041809637,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.58,0.14,26414,77.6,54.1,72.5,1,13.9,0,15354
9782,Retention (anti-churn),15281.871986217513,15281.871986217513,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.48,0.81,31913,80.8,100.0,82.4,0,1.9,1,15282
18244,Retention (anti-churn),15186.455659008276,15186.455659008276,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.51,0.78,29954,81.2,69.4,84.4,0,21.6,0,15186
16967,Retention (anti-churn),15047.167049763068,15047.167049763068,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.62,0.88,24162,88.9,96.4,78.2,0,3.4,0,15047
12004,Retention (anti-churn),14995.49150234963,14995.49150234963,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.66,0.46,22602,79.0,82.0,76.1,0,0.9,0,14995
18885,Retention (anti-churn),14939.76841090452,14939.76841090452,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.65,0.27,23119,62.7,63.9,80.5,0,18.8,0,14940
15545,Retention (anti-churn),14887.146700321002,14887.146700321002,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.67,0.3,22074,82.0,67.6,87.0,0,23.8,0,14887
14042,Retention (anti-churn),14556.029815399721,14556.029815399721,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.56,0.8,26068,79.6,91.9,92.2,0,1.1,0,14556
17205,Retention (anti-churn),14175.684045142547,14175.684045142547,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.54,0.69,26381,67.9,86.1,85.3,0,0.9,0,14176
10554,Retention (anti-churn),14165.001922830697,14165.001922830697,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.34,0.86,41982,82.6,99.0,53.9,2,2.1,1,14165
12997,Retention (anti-churn),14115.958561452922,14115.958561452922,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.49,0.87,28579,80.9,69.0,51.7,1,17.7,1,14116
16474,Retention (anti-churn),13991.425507013246,13991.425507013246,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.65,0.71,21638,70.3,100.0,86.4,0,1.9,0,13991
11209,Retention (anti-churn),13930.043372714666,13930.043372714666,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.35,0.65,39718,70.7,92.8,84.6,0,1.3,1,13930
12984,Retention (anti-churn),13913.210826024584,13913.210826024584,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.45,0.65,31161,72.1,100.0,87.1,0,3.2,1,13913
17469,Retention (anti-churn),13893.24965671744,13893.24965671744,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.6,0.43,23149,82.5,79.1,85.3,0,1.9,0,13893
15442,Retention (anti-churn),13849.799267118844,13849.799267118844,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.62,0.59,22511,83.4,86.6,85.4,0,2.1,0,13850
14268,Retention (anti-churn),13831.31212331917,13831.31212331917,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.62,0.61,22139,85.1,87.4,83.0,0,3.3,0,13831
12242,Retention (anti-churn),13782.954127752451,13782.954127752451,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.45,0.78,30713,60.5,99.9,76.9,0,1.1,1,13783
16815,Retention (anti-churn),13767.857325459046,13767.857325459046,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.45,0.78,30263,79.5,93.1,68.8,1,3.5,1,13768
9698,Retention (anti-churn),13658.31577547151,13658.31577547151,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.37,0.93,37255,79.6,100.0,80.2,0,1.6,1,13658
16184,Retention (anti-churn),13608.71894749438,13608.71894749438,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.53,0.39,25755,73.3,68.8,83.4,0,7.0,0,13609
19163,Retention (anti-churn),13581.968358025033,13581.968358025033,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.58,0.81,23291,79.4,88.4,82.1,0,2.1,0,13582
10470,Retention (anti-churn),13453.348413598824,13453.348413598824,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.42,0.88,31690,77.5,95.9,81.4,0,3.5,1,13453
14234,Retention (anti-churn),13076.679779411274,13076.679779411274,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.36,0.72,36241,83.6,100.0,83.7,0,1.8,1,13077
13574,Retention (anti-churn),12908.101341800202,12908.101341800202,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.57,0.35,22471,76.2,79.1,86.3,0,3.3,0,12908
19403,Retention (anti-churn),12899.327942466687,12899.327942466687,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.63,0.79,20409,80.8,100.0,89.9,0,2.4,0,12899
18119,Retention (anti-churn),12807.805370470225,12807.805370470225,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.57,0.61,22288,85.0,77.5,77.7,0,3.6,0,12808
12809,Retention (anti-churn),12737.514684329855,12737.514684329855,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.7,0.34,18271,75.6,66.3,69.6,0,9.4,0,12738
17022,Retention (anti-churn),12711.383431815753,12711.383431815753,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.37,0.4,34233,71.9,68.3,81.2,0,19.7,1,12711
15236,Retention (anti-churn),12708.99050055782,12708.99050055782,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.58,0.82,21974,81.8,85.6,78.1,0,1.5,0,12709
9576,Retention (anti-churn),12663.628439214935,12663.628439214935,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.43,0.95,29252,68.8,100.0,74.6,0,1.2,1,12664
17422,Retention (anti-churn),12600.301672137262,12600.301672137262,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.36,0.91,35321,67.2,100.0,77.4,0,3.2,1,12600
18695,Retention (anti-churn),12530.114584043775,12530.114584043775,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.48,0.76,25864,83.0,86.6,76.0,1,3.3,0,12530
13305,Retention (anti-churn),12520.506317132571,12520.506317132571,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.62,0.85,20223,74.0,81.1,78.0,0,2.0,0,12521
12235,Retention (anti-churn),12451.416942181419,12451.416942181419,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.35,0.84,35183,75.6,96.0,69.3,1,1.0,1,12451
13672,Retention (anti-churn),12256.050293932654,12256.050293932654,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.41,0.69,29890,77.1,100.0,74.9,1,1.1,1,12256
10596,Retention (anti-churn),12225.246036775783,12225.246036775783,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.72,0.72,16942,64.8,90.6,78.5,0,2.7,0,12225
11780,Retention (anti-churn),12184.80674727877,12184.80674727877,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.47,0.92,26187,70.1,77.1,70.7,0,3.2,0,12185
15933,Retention (anti-churn),12184.616142273786,12184.616142273786,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.62,0.44,19641,77.1,78.8,81.4,0,1.1,0,12185
13621,Retention (anti-churn),12145.554394582925,12145.554394582925,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.57,0.43,21200,80.8,59.2,77.0,0,14.5,0,12146
11981,Retention (anti-churn),12027.261467088714,12027.261467088714,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.35,0.77,34204,87.2,71.4,90.8,0,1.5,0,12027
18138,Retention (anti-churn),12017.510248479299,12017.510248479299,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.5,0.58,24056,70.9,100.0,84.4,0,3.6,1,12018
13250,Retention (anti-churn),12014.652977134965,12014.652977134965,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.35,0.84,34565,75.2,92.6,52.7,2,0.8,1,12015
14020,Retention (anti-churn),11999.92350491831,11999.92350491831,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.42,0.89,28276,82.3,78.4,83.7,0,3.0,0,12000
13210,Retention (anti-churn),11997.913849825884,11997.913849825884,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.69,0.06,17379,73.3,53.6,84.9,0,18.7,0,11998
15129,Retention (anti-churn),11986.12837617759,11986.12837617759,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.51,0.81,23717,75.0,79.1,80.4,0,2.9,0,11986
13938,Retention (anti-churn),11946.713355651467,11946.713355651467,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.38,0.77,31070,70.7,100.0,69.7,0,3.2,1,11947
17615,Retention (anti-churn),11813.2866280158,11813.2866280158,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.54,0.83,22018,74.3,84.9,76.6,0,0.9,0,11813
16220,Retention (anti-churn),11779.539061239626,11779.539061239626,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.45,0.65,26377,83.6,100.0,72.5,1,3.4,1,11780
14525,Retention (anti-churn),11745.3127506923,11745.3127506923,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.39,0.46,30199,79.0,45.7,86.3,0,23.9,0,11745
16392,Retention (anti-churn),11654.19654214129,11654.19654214129,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.61,0.31,19076,85.6,78.5,87.7,0,3.3,0,11654
12435,Retention (anti-churn),11548.558243278403,11548.558243278403,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.8,0.06,14429,89.8,48.1,67.9,0,24.3,0,11549
17744,Retention (anti-churn),11520.744949723974,11520.744949723974,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.44,0.35,26472,86.5,63.2,84.8,0,9.8,0,11521
15747,Retention (anti-churn),11520.627345462977,11520.627345462977,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.68,0.74,16922,68.7,91.4,78.1,0,0.8,0,11521
17170,Retention (anti-churn),11476.876168084964,11476.876168084964,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.7,0.79,16456,87.1,100.0,86.8,0,1.0,0,11477
13049,Retention (anti-churn),11432.580640353257,11432.580640353257,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.43,0.7,26809,84.0,77.3,87.5,0,2.9,0,11433
10384,Retention (anti-churn),11323.448714088017,11323.448714088017,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.79,0.1,14320,75.6,69.4,84.3,0,25.0,0,11323
18765,Retention (anti-churn),11247.6391978401,11247.6391978401,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.62,0.16,18108,85.1,61.0,88.6,0,22.3,0,11248
17360,Retention (anti-churn),11207.329197505343,11207.329197505343,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.4,0.87,28252,72.3,100.0,84.1,0,2.9,1,11207
10200,Retention (anti-churn),11192.219408681962,11192.219408681962,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.44,0.68,25304,79.3,100.0,71.6,1,3.4,1,11192
19346,Retention (anti-churn),11126.77192374284,11126.77192374284,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.63,0.26,17749,76.1,56.4,83.4,0,15.7,0,11127
12515,Retention (anti-churn),11057.342386230557,11057.342386230557,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.73,0.93,15056,88.1,100.0,64.7,1,3.4,0,11057
17465,Retention (anti-churn),10967.2841433422,10967.2841433422,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.63,0.63,17457,82.7,91.4,89.0,0,1.0,0,10967
19428,Retention (anti-churn),10939.215624564718,10939.215624564718,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.63,0.48,17419,83.7,69.3,72.5,1,19.7,0,10939
14708,Retention (anti-churn),10925.154885391088,10925.154885391088,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.46,0.96,23776,86.8,96.1,88.7,0,1.4,0,10925
18412,Retention (anti-churn),10875.648347604127,10875.648347604127,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.53,0.79,20542,71.9,95.4,89.5,0,3.6,0,10876
13276,Retention (anti-churn),10862.392392535343,10862.392392535343,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.27,0.78,40548,69.3,80.9,67.7,0,3.5,1,10862
15854,Retention (anti-churn),10853.419337674228,10853.419337674228,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.43,0.44,25243,66.2,65.0,86.2,0,10.0,0,10853
13298,Retention (anti-churn),10790.0171174544,10790.0171174544,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.76,0.63,14240,60.3,98.4,78.8,0,1.3,0,10790
18120,Retention (anti-churn),10787.324565807718,10787.324565807718,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.35,0.93,30808,80.9,97.8,79.6,0,1.1,1,10787
15772,Retention (anti-churn),10783.861696061549,10783.861696061549,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.46,0.84,23556,79.7,98.5,37.5,2,1.8,1,10784
18381,Retention (anti-churn),10767.935372818083,10767.935372818083,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.41,0.88,26280,75.9,98.3,63.6,1,3.3,1,10768
17060,Retention (anti-churn),10733.307997894006,10733.307997894006,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.44,0.34,24267,59.1,54.0,83.9,0,20.5,0,10733
14519,Retention (anti-churn),10715.185446850339,10715.185446850339,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.35,0.69,30279,78.5,82.9,72.6,0,0.8,1,10715
16825,Retention (anti-churn),10700.14786310334,10700.14786310334,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.29,0.86,37408,87.5,72.2,66.7,0,3.4,1,10700
12896,Retention (anti-churn),10672.439332324135,10672.439332324135,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.53,0.75,20081,81.6,72.2,73.5,0,3.1,0,10672
10992,Retention (anti-churn),10651.189092920868,10651.189092920868,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.38,0.91,27992,69.6,71.3,67.5,1,2.1,0,10651
10164,Retention (anti-churn),10637.843931257481,10637.843931257481,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.75,0.77,14105,85.8,65.7,59.9,1,23.4,0,10638
11378,Retention (anti-churn),10518.400085823634,10518.400085823634,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.39,0.8,27092,52.6,82.6,66.7,0,1.8,1,10518
9980,Retention (anti-churn),10514.146472419445,10514.146472419445,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.39,0.59,26891,68.6,69.0,85.5,0,4.3,0,10514
12579,Retention (anti-churn),10455.778480906258,10455.778480906258,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.7,0.93,15007,93.2,100.0,69.9,1,1.3,0,10456
16366,Retention (anti-churn),10455.012086438794,10455.012086438794,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.56,0.1,18554,78.0,50.6,84.2,0,23.4,0,10455
16976,Retention (anti-churn),10454.353177477764,10454.353177477764,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.51,0.53,20460,69.1,61.3,67.6,1,21.2,0,10454
17306,Retention (anti-churn),10397.30962019811,10397.30962019811,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.31,0.31,33818,74.9,67.3,83.3,0,19.2,1,10397
19050,Retention (anti-churn),10386.250233767094,10386.250233767094,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.42,0.89,24933,90.1,78.2,88.2,0,2.9,0,10386
12695,Retention (anti-churn),10331.447830271009,10331.447830271009,Alto rischio di abbandono su cliente di elevato valore. Contatto prioritario consigliato per prevenire la perdita.,0.31,0.38,33680,70.5,67.3,84.8,0,23.3,1,10331
